Region	Product 	Grand_Total
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	OFM	 123 
GC	OFM	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Other	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	OFM	 123 
GC	OFM	 123 
GC	OFM	 123 
GC	OFM	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	OFM	 123 
GC	Apps	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Apps	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	Tech	 123 
GC	Apps	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	OFM	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	Systems	 123 
GC	Apps	 123 
GC	OFM	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 123 
GC	Tech	 122 
GC	Other	 122 
GC	OFM	 121 
GC	Tech	 121 
GC	Tech	 121 
GC	Tech	 117 
GC	Tech	 117 
GC	Systems	 117 
GC	Tech	 116 
GC	OFM	 116 
GC	OFM	 116 
GC	OFM	 116 
GC	OFM	 116 
GC	Tech	 116 
GC	Other	 116 
GC	OFM	 116 
GC	Tech	 116 
GC	Tech	 115 
GC	Tech	 115 
GC	OFM	 114 
GC	OFM	 111 
GC	Tech	 110 
GC	Apps	 110 
GC	Tech	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	Tech	 108 
GC	Apps	 108 
GC	Apps	 108 
GC	Tech	 108 
